jenis_kelamin,usia,wilayah_geografis,paket_umrah,tanggal_pemesanan,tahun,bulan,tanggal,bulan_tahun
1,46,1,4,2023-02-14,2023,2,14,2
0,38,1,5,2023-02-14,2023,2,14,2
0,51,1,4,2023-03-26,2023,3,26,3
0,54,1,5,2023-03-26,2023,3,26,3
1,45,1,0,2023-03-26,2023,3,26,3
0,37,1,1,2023-03-24,2023,3,24,3
0,44,1,4,2023-03-24,2023,3,24,3
0,27,1,0,2023-03-22,2023,3,22,3
1,70,1,1,2023-03-20,2023,3,20,3
1,34,1,2,2023-03-20,2023,3,20,3
1,51,1,2,2023-03-20,2023,3,20,3
0,48,1,5,2023-03-17,2023,3,17,3
1,71,1,4,2023-03-17,2023,3,17,3
0,48,1,4,2023-03-17,2023,3,17,3
1,48,1,4,2023-03-17,2023,3,17,3
1,63,1,5,2023-03-15,2023,3,15,3
1,67,1,5,2023-03-15,2023,3,15,3
1,62,1,4,2023-03-14,2023,3,14,3
1,59,1,1,2023-03-14,2023,3,14,3
0,24,1,0,2023-12-03,2023,12,3,12
0,49,1,1,2023-12-03,2023,12,3,12
0,30,1,2,2023-10-03,2023,10,3,10
0,29,1,2,2023-10-03,2023,10,3,10
1,51,1,2,2023-10-03,2023,10,3,10
1,38,1,2,2023-10-03,2023,10,3,10
1,44,1,5,2023-06-03,2023,6,3,6
1,49,1,5,2023-04-03,2023,4,3,4
1,51,1,1,2023-01-03,2023,1,3,1
1,49,1,2,2023-04-30,2023,4,30,4
1,53,1,2,2023-04-30,2023,4,30,4
0,36,1,2,2023-04-30,2023,4,30,4
0,51,1,2,2023-04-30,2023,4,30,4
0,56,1,3,2023-04-30,2023,4,30,4
1,52,1,3,2023-04-30,2023,4,30,4
1,46,1,4,2023-04-30,2023,4,30,4
1,54,1,4,2023-04-30,2023,4,30,4
1,36,1,5,2023-04-29,2023,4,29,4
1,7,1,4,2023-04-29,2023,4,29,4
1,9,1,0,2023-04-29,2023,4,29,4
0,36,1,5,2023-04-28,2023,4,28,4
0,43,1,4,2023-04-28,2023,4,28,4
0,61,1,0,2023-04-28,2023,4,28,4
0,33,1,4,2023-04-28,2023,4,28,4
0,40,1,5,2023-04-28,2023,4,28,4
1,57,1,5,2023-04-28,2023,4,28,4
1,66,1,4,2023-04-27,2023,4,27,4
1,47,1,0,2023-04-27,2023,4,27,4
0,5,1,5,2023-04-25,2023,4,25,4
1,25,1,3,2023-04-25,2023,4,25,4
0,40,1,5,2023-04-25,2023,4,25,4
1,52,1,5,2023-04-23,2023,4,23,4
1,43,1,4,2023-04-23,2023,4,23,4
1,72,1,5,2023-04-23,2023,4,23,4
1,48,1,5,2023-04-23,2023,4,23,4
0,52,1,4,2023-04-23,2023,4,23,4
1,52,1,5,2023-04-20,2023,4,20,4
1,31,1,5,2023-04-20,2023,4,20,4
1,50,1,1,2023-04-20,2023,4,20,4
0,60,1,3,2023-04-18,2023,4,18,4
1,60,1,3,2023-04-18,2023,4,18,4
1,60,1,3,2023-04-17,2023,4,17,4
0,44,1,3,2023-04-17,2023,4,17,4
1,44,1,3,2023-04-14,2023,4,14,4
0,44,1,3,2023-04-13,2023,4,13,4
0,48,1,5,2023-12-04,2023,12,4,12
0,27,1,4,2023-10-04,2023,10,4,10
0,24,1,4,2023-09-04,2023,9,4,9
0,37,1,5,2023-09-04,2023,9,4,9
1,29,1,3,2023-06-04,2023,6,4,6
0,39,1,3,2023-06-04,2023,6,4,6
1,55,1,0,2023-06-04,2023,6,4,6
1,40,1,4,2023-06-04,2023,6,4,6
1,54,1,0,2023-04-04,2023,4,4,4
1,43,1,4,2023-04-04,2023,4,4,4
1,15,1,3,2023-04-04,2023,4,4,4
0,70,1,4,2023-04-04,2023,4,4,4
0,69,1,3,2023-05-31,2023,5,31,5
1,65,1,3,2023-05-31,2023,5,31,5
1,73,1,4,2023-05-31,2023,5,31,5
0,62,1,3,2023-05-28,2023,5,28,5
1,59,1,1,2023-05-28,2023,5,28,5
0,66,1,3,2023-05-28,2023,5,28,5
0,64,1,4,2023-05-26,2023,5,26,5
1,60,1,3,2023-05-26,2023,5,26,5
0,44,1,5,2023-05-26,2023,5,26,5
0,50,1,4,2023-05-25,2023,5,25,5
1,53,1,3,2023-05-24,2023,5,24,5
0,64,1,1,2023-05-24,2023,5,24,5
0,58,1,1,2023-05-21,2023,5,21,5
0,72,1,3,2023-05-20,2023,5,20,5
0,46,1,3,2023-05-19,2023,5,19,5
0,45,1,3,2023-05-19,2023,5,19,5
1,40,1,3,2023-05-17,2023,5,17,5
0,58,1,0,2023-05-16,2023,5,16,5
1,29,1,5,2023-05-16,2023,5,16,5
0,39,1,4,2023-05-15,2023,5,15,5
1,44,1,3,2023-05-14,2023,5,14,5
1,44,1,3,2023-05-13,2023,5,13,5
0,48,1,0,2023-11-05,2023,11,5,11
1,35,1,4,2023-08-05,2023,8,5,8
0,34,1,3,2023-06-30,2023,6,30,6
1,39,1,4,2023-06-30,2023,6,30,6
1,28,1,3,2023-06-29,2023,6,29,6
0,35,1,4,2023-06-28,2023,6,28,6
1,41,1,4,2023-06-27,2023,6,27,6
0,55,1,3,2023-06-27,2023,6,27,6
1,38,1,3,2023-06-25,2023,6,25,6
0,46,1,0,2023-06-24,2023,6,24,6
1,39,1,3,2023-06-23,2023,6,23,6
0,54,1,5,2023-06-22,2023,6,22,6
0,36,1,3,2023-06-22,2023,6,22,6
1,40,1,4,2023-06-21,2023,6,21,6
1,45,1,3,2023-06-20,2023,6,20,6
0,45,1,5,2023-06-20,2023,6,20,6
0,45,1,4,2023-06-19,2023,6,19,6
1,45,1,4,2023-06-19,2023,6,19,6
1,45,1,5,2023-06-17,2023,6,17,6
0,38,1,3,2023-06-17,2023,6,17,6
0,40,1,3,2023-06-16,2023,6,16,6
0,47,1,4,2023-06-15,2023,6,15,6
0,36,1,3,2023-06-14,2023,6,14,6
1,55,1,4,2023-06-14,2023,6,14,6
0,33,1,3,2023-06-14,2023,6,14,6
1,38,1,4,2023-06-13,2023,6,13,6
1,28,1,3,2023-12-06,2023,12,6,12
0,37,1,4,2023-11-06,2023,11,6,11
0,57,1,0,2023-10-06,2023,10,6,10
1,38,1,0,2023-08-06,2023,8,6,8
0,46,1,0,2023-07-06,2023,7,6,7
1,39,1,3,2023-06-06,2023,6,6,6
0,36,1,0,2023-05-06,2023,5,6,5
1,40,1,4,2023-05-06,2023,5,6,5
1,50,1,3,2023-03-06,2023,3,6,3
0,42,1,5,2023-03-06,2023,3,6,3
0,28,1,4,2023-03-06,2023,3,6,3
1,52,1,4,2023-03-06,2023,3,6,3
1,45,1,5,2023-02-06,2023,2,6,2
0,38,1,3,2023-02-06,2023,2,6,2
1,58,1,0,2023-02-06,2023,2,6,2
0,40,1,3,2023-02-06,2023,2,6,2
0,47,1,3,2023-01-06,2023,1,6,1
0,36,1,3,2023-01-06,2023,1,6,1
1,55,1,4,2023-01-06,2023,1,6,1
1,59,1,3,2023-07-31,2023,7,31,7
1,65,1,3,2023-07-31,2023,7,31,7
0,43,1,4,2023-07-31,2023,7,31,7
1,25,1,0,2023-07-30,2023,7,30,7
1,50,1,4,2023-07-30,2023,7,30,7
1,29,1,5,2023-07-29,2023,7,29,7
1,50,1,3,2023-07-29,2023,7,29,7
1,62,1,0,2023-07-29,2023,7,29,7
1,60,1,3,2023-07-28,2023,7,28,7
0,48,1,4,2023-07-28,2023,7,28,7
0,34,1,0,2023-07-28,2023,7,28,7
1,39,1,3,2023-07-27,2023,7,27,7
1,41,1,0,2023-07-25,2023,7,25,7
0,55,1,4,2023-07-25,2023,7,25,7
1,38,1,5,2023-07-24,2023,7,24,7
0,46,1,5,2023-07-23,2023,7,23,7
1,39,1,0,2023-07-22,2023,7,22,7
0,54,1,3,2023-07-22,2023,7,22,7
0,36,1,4,2023-07-22,2023,7,22,7
1,40,1,0,2023-07-21,2023,7,21,7
1,50,1,0,2023-07-20,2023,7,20,7
0,42,1,3,2023-07-20,2023,7,20,7
0,34,1,0,2023-07-19,2023,7,19,7
1,39,1,4,2023-07-19,2023,7,19,7
1,28,1,0,2023-07-18,2023,7,18,7
0,35,1,4,2023-07-17,2023,7,17,7
1,41,1,4,2023-07-17,2023,7,17,7
0,55,1,3,2023-07-17,2023,7,17,7
1,38,1,3,2023-07-15,2023,7,15,7
0,46,1,0,2023-07-14,2023,7,14,7
1,39,1,3,2023-07-14,2023,7,14,7
0,54,1,5,2023-07-14,2023,7,14,7
0,36,1,3,2023-07-13,2023,7,13,7
1,45,1,4,2023-07-13,2023,7,13,7
1,45,1,3,2023-12-07,2023,12,7,12
0,42,1,5,2023-12-07,2023,12,7,12
0,28,1,4,2023-11-07,2023,11,7,11
1,52,1,4,2023-11-07,2023,11,7,11
1,45,1,5,2023-10-07,2023,10,7,10
0,38,1,3,2023-10-07,2023,10,7,10
1,58,1,0,2023-09-07,2023,9,7,9
0,40,1,3,2023-09-07,2023,9,7,9
0,47,1,5,2023-08-07,2023,8,7,8
0,36,1,3,2023-08-07,2023,8,7,8
1,55,1,4,2023-07-07,2023,7,7,7
1,29,1,5,2023-06-07,2023,6,7,6
0,45,1,0,2023-05-07,2023,5,7,5
1,38,1,4,2023-01-07,2023,1,7,1
1,39,1,4,2023-08-30,2023,8,30,8
0,35,1,5,2023-08-28,2023,8,28,8
1,35,1,5,2023-08-27,2023,8,27,8
0,55,1,4,2023-08-26,2023,8,26,8
1,38,1,0,2023-08-24,2023,8,24,8
1,39,1,4,2023-08-21,2023,8,21,8
0,29,1,5,2023-08-19,2023,8,19,8
0,31,1,5,2023-08-18,2023,8,18,8
1,42,1,0,2023-08-17,2023,8,17,8
1,37,1,0,2023-08-16,2023,8,16,8
1,58,1,2,2023-08-16,2023,8,16,8
1,58,1,2,2023-08-15,2023,8,15,8
1,40,1,2,2023-08-15,2023,8,15,8
1,41,1,3,2023-08-14,2023,8,14,8
1,41,1,3,2023-08-13,2023,8,13,8
0,31,1,5,2023-12-08,2023,12,8,12
0,40,1,4,2023-11-08,2023,11,8,11
1,47,1,4,2023-10-08,2023,10,8,10
0,63,1,1,2023-10-08,2023,10,8,10
1,43,1,1,2023-10-08,2023,10,8,10
1,58,1,1,2023-10-08,2023,10,8,10
0,52,1,5,2023-09-30,2023,9,30,9
1,43,1,2,2023-09-30,2023,9,30,9
1,49,1,2,2023-09-30,2023,9,30,9
1,46,1,2,2023-09-29,2023,9,29,9
1,55,1,5,2023-09-29,2023,9,29,9
1,48,1,3,2023-09-28,2023,9,28,9
1,20,1,3,2023-09-28,2023,9,28,9
1,49,1,1,2023-09-28,2023,9,28,9
1,33,1,4,2023-09-27,2023,9,27,9
0,53,1,2,2023-09-26,2023,9,26,9
1,54,1,2,2023-09-26,2023,9,26,9
1,51,1,2,2023-09-26,2023,9,26,9
1,44,1,5,2023-09-26,2023,9,26,9
1,52,1,5,2023-09-23,2023,9,23,9
0,62,1,4,2023-09-23,2023,9,23,9
1,64,1,3,2023-09-23,2023,9,23,9
1,28,1,5,2023-09-23,2023,9,23,9
1,55,1,3,2023-09-23,2023,9,23,9
0,57,1,4,2023-09-22,2023,9,22,9
1,52,1,5,2023-09-22,2023,9,22,9
1,68,1,3,2023-09-22,2023,9,22,9
0,61,1,3,2023-09-22,2023,9,22,9
1,43,1,5,2023-09-21,2023,9,21,9
0,76,1,5,2023-09-20,2023,9,20,9
0,46,1,0,2023-09-20,2023,9,20,9
1,45,1,5,2023-09-19,2023,9,19,9
0,45,1,5,2023-09-19,2023,9,19,9
0,44,1,5,2023-09-17,2023,9,17,9
1,32,1,0,2023-09-17,2023,9,17,9
0,10,1,0,2023-09-17,2023,9,17,9
1,77,1,2,2023-09-14,2023,9,14,9
0,46,1,2,2023-09-14,2023,9,14,9
0,12,1,0,2023-12-09,2023,12,9,12
1,53,1,1,2023-12-09,2023,12,9,12
1,52,1,1,2023-11-09,2023,11,9,11
0,54,1,3,2023-11-09,2023,11,9,11
1,53,1,5,2023-10-09,2023,10,9,10
1,66,1,4,2023-10-09,2023,10,9,10
1,51,1,4,2023-10-09,2023,10,9,10
1,56,1,5,2023-09-09,2023,9,9,9
1,54,1,5,2023-09-09,2023,9,9,9
1,29,1,2,2023-08-09,2023,8,9,8
0,59,1,2,2023-08-09,2023,8,9,8
0,65,1,5,2023-07-09,2023,7,9,7
0,28,1,2,2023-07-09,2023,7,9,7
1,59,1,2,2023-07-09,2023,7,9,7
0,33,1,1,2023-07-09,2023,7,9,7
1,55,1,4,2023-07-09,2023,7,9,7
0,63,1,3,2023-06-09,2023,6,9,6
1,43,1,5,2023-06-09,2023,6,9,6
1,58,1,3,2023-05-09,2023,5,9,5
1,68,1,4,2023-05-09,2023,5,9,5
0,21,1,1,2023-05-09,2023,5,9,5
1,16,1,1,2023-05-09,2023,5,9,5
0,38,1,5,2023-05-09,2023,5,9,5
0,63,1,3,2023-04-09,2023,4,9,4
1,64,1,5,2023-03-09,2023,3,9,3
0,57,1,4,2023-03-09,2023,3,9,3
1,60,1,3,2023-03-09,2023,3,9,3
1,50,1,5,2023-03-09,2023,3,9,3
0,16,1,0,2023-03-09,2023,3,9,3
1,52,1,5,2023-02-09,2023,2,9,2
0,29,1,5,2023-02-09,2023,2,9,2
1,29,1,4,2023-02-09,2023,2,9,2
0,59,1,3,2023-02-09,2023,2,9,2
0,63,1,4,2023-02-09,2023,2,9,2
1,59,1,4,2023-01-09,2023,1,9,1
1,53,1,4,2023-01-09,2023,1,9,1
0,54,1,0,2023-01-09,2023,1,9,1
1,26,1,4,2023-01-09,2023,1,9,1
0,64,1,5,2023-10-31,2023,10,31,10
0,72,1,5,2023-10-30,2023,10,30,10
0,38,1,5,2023-10-30,2023,10,30,10
1,49,1,5,2023-10-30,2023,10,30,10
1,72,1,5,2023-10-29,2023,10,29,10
0,65,1,5,2023-10-28,2023,10,28,10
1,44,1,5,2023-10-28,2023,10,28,10
0,55,1,0,2023-10-27,2023,10,27,10
0,71,1,0,2023-10-27,2023,10,27,10
1,60,1,4,2023-10-26,2023,10,26,10
0,53,1,4,2023-10-26,2023,10,26,10
1,22,1,4,2023-10-23,2023,10,23,10
0,53,1,4,2023-10-23,2023,10,23,10
0,46,1,4,2023-10-22,2023,10,22,10
0,23,1,5,2023-10-21,2023,10,21,10
1,26,1,5,2023-10-20,2023,10,20,10
0,26,1,4,2023-10-20,2023,10,20,10
1,32,1,4,2023-10-20,2023,10,20,10
0,62,1,0,2023-10-18,2023,10,18,10
1,49,1,4,2023-10-18,2023,10,18,10
1,72,1,4,2023-10-18,2023,10,18,10
1,17,1,4,2023-10-17,2023,10,17,10
0,65,1,4,2023-10-17,2023,10,17,10
1,44,1,0,2023-10-16,2023,10,16,10
0,71,1,3,2023-10-15,2023,10,15,10
1,60,1,1,2023-10-15,2023,10,15,10
0,53,1,1,2023-10-14,2023,10,14,10
1,59,1,5,2023-10-13,2023,10,13,10
1,64,1,5,2023-10-13,2023,10,13,10
0,36,1,5,2023-10-13,2023,10,13,10
0,38,1,5,2023-12-10,2023,12,10,12
0,45,1,5,2023-12-10,2023,12,10,12
0,52,1,5,2023-12-10,2023,12,10,12
1,37,1,5,2023-12-10,2023,12,10,12
0,60,1,5,2023-12-10,2023,12,10,12
0,61,1,0,2023-05-10,2023,5,10,5
1,37,1,5,2023-05-10,2023,5,10,5
0,50,1,0,2023-05-10,2023,5,10,5
0,32,1,0,2023-03-10,2023,3,10,3
1,50,1,0,2023-03-10,2023,3,10,3
0,39,1,0,2023-03-10,2023,3,10,3
1,41,1,4,2023-03-10,2023,3,10,3
0,36,1,5,2023-11-28,2023,11,28,11
0,42,1,0,2023-11-28,2023,11,28,11
1,51,1,0,2023-11-28,2023,11,28,11
0,44,1,1,2023-11-28,2023,11,28,11
1,71,1,1,2023-11-28,2023,11,28,11
1,64,1,1,2023-11-27,2023,11,27,11
0,21,1,5,2023-11-26,2023,11,26,11
0,17,1,5,2023-11-26,2023,11,26,11
1,66,1,0,2023-11-25,2023,11,25,11
1,26,1,0,2023-11-25,2023,11,25,11
1,37,1,1,2023-11-24,2023,11,24,11
0,34,1,5,2023-11-21,2023,11,21,11
0,40,1,5,2023-11-20,2023,11,20,11
1,47,1,1,2023-11-17,2023,11,17,11
0,52,1,0,2023-11-16,2023,11,16,11
1,42,1,5,2023-11-14,2023,11,14,11
0,42,1,4,2023-11-14,2023,11,14,11
1,32,1,5,2023-12-11,2023,12,11,12
1,29,1,5,2023-12-11,2023,12,11,12
1,37,1,0,2023-11-11,2023,11,11,11
1,39,1,0,2023-10-11,2023,10,11,10
1,34,1,0,2023-10-11,2023,10,11,10
1,46,1,5,2023-09-11,2023,9,11,9
1,52,1,0,2023-07-11,2023,7,11,7
1,37,1,0,2023-07-11,2023,7,11,7
1,38,1,0,2023-06-11,2023,6,11,6
0,39,1,5,2023-05-11,2023,5,11,5
1,38,1,5,2023-05-11,2023,5,11,5
1,47,1,5,2023-04-11,2023,4,11,4
0,29,1,5,2023-03-11,2023,3,11,3
1,32,1,5,2023-03-11,2023,3,11,3
0,42,1,1,2023-03-11,2023,3,11,3
0,56,1,5,2023-12-27,2023,12,27,12
1,49,1,4,2023-12-27,2023,12,27,12
0,47,1,5,2023-12-23,2023,12,23,12
0,19,1,5,2023-12-23,2023,12,23,12
1,13,1,5,2023-12-23,2023,12,23,12
1,70,1,5,2023-12-23,2023,12,23,12
0,18,1,5,2023-12-17,2023,12,17,12
1,22,1,5,2023-12-17,2023,12,17,12
1,40,1,1,2023-12-17,2023,12,17,12
1,50,1,1,2023-12-16,2023,12,16,12
0,57,1,5,2023-12-16,2023,12,16,12
1,52,1,5,2023-12-16,2023,12,16,12
0,50,1,0,2023-12-16,2023,12,16,12
1,21,1,0,2023-12-16,2023,12,16,12
1,36,1,5,2023-12-14,2023,12,14,12
0,60,1,2,2023-12-14,2023,12,14,12
1,55,1,2,2023-12-14,2023,12,14,12
1,18,1,1,2023-12-14,2023,12,14,12
0,49,1,1,2023-12-14,2023,12,14,12
1,70,1,4,2023-12-14,2023,12,14,12
1,32,1,4,2023-11-12,2023,11,12,11
0,45,1,5,2023-11-12,2023,11,12,11
0,50,1,4,2023-10-12,2023,10,12,10
1,49,1,4,2023-10-12,2023,10,12,10
0,58,1,5,2023-10-12,2023,10,12,10
0,65,1,5,2023-10-12,2023,10,12,10
0,55,1,5,2023-10-12,2023,10,12,10
1,55,1,4,2023-07-12,2023,7,12,7
1,70,1,4,2023-06-12,2023,6,12,6
1,32,1,4,2023-06-12,2023,6,12,6
0,45,1,5,2023-06-12,2023,6,12,6
0,50,1,4,2023-06-12,2023,6,12,6
1,49,1,4,2023-05-12,2023,5,12,5
0,58,1,2,2023-05-12,2023,5,12,5
0,50,1,4,2023-05-12,2023,5,12,5
1,37,1,5,2023-05-12,2023,5,12,5
0,55,1,5,2023-05-12,2023,5,12,5
0,38,1,5,2023-05-12,2023,5,12,5
0,57,1,5,2023-03-12,2023,3,12,3
0,41,1,5,2023-03-12,2023,3,12,3
1,43,1,5,2023-03-12,2023,3,12,3
1,59,1,5,2023-03-12,2023,3,12,3
0,61,1,4,2023-02-12,2023,2,12,2
1,42,1,5,2023-02-12,2023,2,12,2
0,47,1,4,2023-02-12,2023,2,12,2
1,56,1,5,2023-02-12,2023,2,12,2
1,49,1,4,2023-02-12,2023,2,12,2
0,50,1,5,2023-02-12,2023,2,12,2
1,35,5,5,2023-05-03,2023,5,3,5
0,32,5,0,2023-07-15,2023,7,15,7
1,44,5,3,2023-07-03,2023,7,3,7
0,38,5,5,2023-02-27,2023,2,27,2
0,44,5,3,2023-05-03,2023,5,3,5
1,50,5,5,2023-03-13,2023,3,13,3
1,51,5,5,2023-07-07,2023,7,7,7
1,43,5,4,2023-02-23,2023,2,23,2
1,35,5,5,2023-05-03,2023,5,3,5
0,58,5,4,2023-04-18,2023,4,18,4
1,31,5,5,2023-11-03,2023,11,3,11
1,74,5,3,2023-09-09,2023,9,9,9
0,51,5,0,2023-08-03,2023,8,3,8
0,30,5,4,2023-01-03,2023,1,3,1
1,56,5,0,2023-06-03,2023,6,3,6
1,46,5,3,2023-05-03,2023,5,3,5
1,47,5,4,2023-06-20,2023,6,20,6
1,67,5,4,2023-10-04,2023,10,4,10
0,43,5,4,2023-06-23,2023,6,23,6
1,42,5,5,2023-03-31,2023,3,31,3
0,43,5,1,2023-01-19,2023,1,19,1
0,51,5,0,2023-08-03,2023,8,3,8
0,60,5,5,2023-11-06,2023,11,6,11
1,76,5,5,2023-12-02,2023,12,2,12
1,56,5,0,2023-10-04,2023,10,4,10
0,32,5,5,2023-08-23,2023,8,23,8
0,48,5,3,2023-07-07,2023,7,7,7
1,43,5,4,2023-02-23,2023,2,23,2
0,43,5,4,2023-06-06,2023,6,6,6
0,28,5,4,2023-08-10,2023,8,10,8
0,45,5,5,2023-03-28,2023,3,28,3
1,49,5,4,2023-02-23,2023,2,23,2
0,66,5,5,2023-08-03,2023,8,3,8
1,55,5,3,2023-04-02,2023,4,2,4
1,14,5,3,2023-03-28,2023,3,28,3
0,47,5,4,2023-07-27,2023,7,27,7
0,48,5,3,2023-07-07,2023,7,7,7
0,25,5,4,2023-05-10,2023,5,10,5
0,38,5,5,2023-02-27,2023,2,27,2
1,43,5,5,2023-06-07,2023,6,7,6
1,43,5,5,2023-06-07,2023,6,7,6
0,31,5,4,2023-07-21,2023,7,21,7
1,43,5,5,2023-06-07,2023,6,7,6
1,45,5,5,2023-02-02,2023,2,2,2
1,52,5,4,2023-04-03,2023,4,3,4
1,44,5,4,2023-03-30,2023,3,30,3
0,37,5,4,2023-03-25,2023,3,25,3
1,67,5,4,2023-10-04,2023,10,4,10
1,45,5,5,2023-02-02,2023,2,2,2
0,48,5,5,2023-04-04,2023,4,4,4
1,43,5,4,2023-02-23,2023,2,23,2
1,44,5,3,2023-11-03,2023,11,3,11
0,53,5,0,2023-01-06,2023,1,6,1
1,52,5,3,2023-02-25,2023,2,25,2
1,28,5,4,2023-08-04,2023,8,4,8
0,66,5,5,2023-08-03,2023,8,3,8
0,35,5,3,2023-03-28,2023,3,28,3
0,59,5,0,2023-02-28,2023,2,28,2
0,50,5,0,2023-01-01,2023,1,1,1
0,49,5,3,2023-08-03,2023,8,3,8
1,42,5,5,2023-03-31,2023,3,31,3
1,56,5,0,2023-10-04,2023,10,4,10
1,46,5,3,2023-08-03,2023,8,3,8
1,37,5,5,2023-07-03,2023,7,3,7
1,41,5,4,2023-03-03,2023,3,3,3
0,48,5,3,2023-07-07,2023,7,7,7
0,36,5,3,2023-10-08,2023,10,8,10
0,30,5,4,2023-07-24,2023,7,24,7
1,45,5,5,2023-02-01,2023,2,1,2
0,31,5,4,2023-07-21,2023,7,21,7
1,39,5,3,2023-02-13,2023,2,13,2
1,27,5,5,2023-06-10,2023,6,10,6
0,56,5,4,2023-09-03,2023,9,3,9
0,41,5,3,2023-02-06,2023,2,6,2
0,64,5,0,2023-04-02,2023,4,2,4
1,46,5,3,2023-05-03,2023,5,3,5
1,28,5,4,2023-08-04,2023,8,4,8
0,43,5,1,2023-01-19,2023,1,19,1
1,47,5,4,2023-06-04,2023,6,4,6
0,44,5,5,2023-03-31,2023,3,31,3
1,12,5,3,2023-05-03,2023,5,3,5
1,55,5,4,2023-10-01,2023,10,1,10
0,44,5,5,2023-03-31,2023,3,31,3
0,30,5,0,2023-08-25,2023,8,25,8
0,47,5,3,2023-06-30,2023,6,30,6
1,49,5,0,2023-07-02,2023,7,2,7
0,31,5,0,2023-04-06,2023,4,6,4
1,42,5,4,2023-06-09,2023,6,9,6
1,43,5,5,2023-06-07,2023,6,7,6
0,59,5,0,2023-02-28,2023,2,28,2
0,51,5,4,2023-07-03,2023,7,3,7
1,41,5,5,2023-04-02,2023,4,2,4
0,38,5,5,2023-02-27,2023,2,27,2
0,51,5,3,2023-06-08,2023,6,8,6
1,27,5,5,2023-06-10,2023,6,10,6
1,43,5,5,2023-06-07,2023,6,7,6
1,39,5,3,2023-09-02,2023,9,2,9
0,25,5,4,2023-05-10,2023,5,10,5
1,53,5,4,2023-09-03,2023,9,3,9
1,41,5,4,2023-03-03,2023,3,3,3
1,42,5,5,2023-03-31,2023,3,31,3
1,71,5,4,2023-02-22,2023,2,22,2
0,34,5,0,2023-06-18,2023,6,18,6
0,48,5,3,2023-07-07,2023,7,7,7
1,46,5,4,2023-04-17,2023,4,17,4
0,39,5,3,2023-08-02,2023,8,2,8
0,46,5,3,2023-06-13,2023,6,13,6
0,38,5,5,2023-02-27,2023,2,27,2
1,54,5,0,2023-07-02,2023,7,2,7
1,48,5,0,2023-03-16,2023,3,16,3
